"id","vehicle_model_id","mileage_id","year","plate_num","transmission","hourly_rate","daily_rate","weekly_rate","monthly_rate","address","latitude","longitude","delivery_rate","pickup_instruction","return_instruction","description","view_count","is_available","is_verified","created_at","updated_at","user_id","min_hour","max_hour","is_image_verified","deleted_at","booking_count","rating","features","old_id"
4227,16,4,2011,"WB6772A","auto",34,500,2800,5700," Jalan PUJ 7/19 Taman Puncak Jalil,Bandar Putra Permai ,Seri Kembangan,43300,Wilayah Persekutuan Kuala Lumpur",3.0327877,101.6774065,,".",".","Good condition",0,TRUE,TRUE,"2019-01-24 17:57:47.744047","2019-01-24 18:08:49.489024",12671,5,,FALSE,"2019-01-24 18:08:49.482451",0,,"{}",
13,1,2,2012,"WD9279P","auto",7,130,705,1680," KL Eco City Road,Midvalley City,Kuala Lumpur,59200,Wilayah Persekutuan Kuala Lumpur",3.1190784,101.6743531,,"Pickup","Return","Best car ever ! ",0,FALSE,FALSE,"2019-01-18 10:30:16.271623","2019-02-28 11:40:15.685739",2,5,,FALSE,"2019-01-18 12:04:00.641585",0,,"{}",
3000,6,2,2012,"WXG6711","auto",7,120,700,1368,"Pondok Pasir Tumboh (Muslimat) D110 Melor Kelantan Malaysia",6.0557442,102.2896138,,,,"Leather seat
Special edition",0,TRUE,TRUE,"2017-10-29 18:07:22","2019-02-25 20:37:01.762294",4701,5,,FALSE,,0,,"{}",1760
3,7,2,2013,"VUTVHY","auto",120,120,120,120," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"picj","pich","tell us",0,FALSE,FALSE,"2019-01-17 18:16:09.758966","2019-01-19 02:27:25.163577",9363,5,,FALSE,"2019-01-17 18:19:22.763565",0,,"{}",
1,30,2,2017,"VAT2275","auto",120,120,120,120,"Sri Pelangi Condominium,Jalan Genting Kelang,Setapak,Kuala Lumpur,53000,Wilayah Persekutuan Kuala Lumpur",3.196597,101.7123223,,"call me","call me","Accident free & still under Honda warranty",0,FALSE,TRUE,"2019-01-17 18:04:19.928336","2019-02-20 12:37:28.914278",9881,5,,FALSE,,0,4.5,"{}",
3068,6,2,2013,"WYX4657","auto",7,120,700,1368,"Jalan TKS 1 Taman Kajang Sentral Kajang Selangor Malaysia",2.9772198,101.7949812,,,,"GOOD CONDITION",0,FALSE,TRUE,"2018-01-18 15:19:22","2019-02-20 12:37:29.006334",5520,5,,FALSE,,0,,"{}",1853
2134,4,2,2014,"WA4739F","auto",6,100,600,1140,"KLEZCAR AUTOBIZ CORPORATE PLT

PT. 812, TINGKAT 2, KK 4B/2, KUBANG KERIAN, 16150 KOTA BAHRU",6.0949691,102.277345,,,,"It is very comfortable to ride in it. I think people will love the ride experience in a this car. Great gas saver especially when you have to do a lot of driving. Wish you enjoy the trip. No smoking or pets please! Safe drive.",0,FALSE,FALSE,"2016-11-25 22:04:15","2019-01-19 23:44:15.416323",131,5,,FALSE,,0,,"{}",483
2135,4,2,2014,"W1670Y","auto",6,100,600,1140,"KLEZCAR AUTOBIZ CORPORATE PLT

PT. 812, TINGKAT 2, KK 4B/2, KUBANG KERIAN, 16150 KOTA BAHRU",6.0949691,102.277345,,,,"It is very comfortable to ride in it. I think people will love the ride experience in a this car. Great gas saver especially when you have to do a lot of driving. Wish you enjoy the trip. No smoking or pets please! Safe drive.",0,FALSE,FALSE,"2016-11-25 22:04:05","2019-01-19 23:44:15.431864",131,5,,FALSE,,0,,"{}",301
4329,5,6,2010,"NCK2508","auto",9,150,900,1743,"46a Jalan Jubli Perak 22/1,Seksyen 22,Shah Alam,40000,Selangor",3.0721297,101.5551603,,"In front puri Aiyu condo Seksyen 22","In front puri Aiyu condo Seksyen 22","Ezi 1.5",0,FALSE,FALSE,"2019-02-14 14:06:45.880651","2019-03-01 10:33:12.670695",10957,10,,FALSE,,0,,"{}",
4258,2,3,2017,"BPD6916","auto",8,140,850,1596,"24 Lorong SS 5c/1b,Ss 5,Petaling Jaya,47301,Selangor",3.1003303,101.6032207,,"Kompleks Tabung Haji Kelana Jaya
LRT Taman Bahagia","Kompleks Tabung Haji Kelana Jaya
LRT Taman Bahagia
","Perodua Bezza Advance . 1.3 Blue Colour. Amat bagus utk penggunaan bandar. 
Boot besar

",0,TRUE,FALSE,"2019-01-28 09:08:28.917153","2019-01-28 10:50:51.908568",3346,5,,FALSE,"2019-01-28 10:50:51.902935",0,,"{}",
2945,3,2,2016,"WC6790X","auto",7,120,700,1368,"Jalan Plumbum S7/S Seksyen 7 Shah Alam Selangor Malaysia",3.0679581,101.4910322,,,,"Jimat minyak dan mudah dibawak kemana-mana",0,FALSE,TRUE,"2017-03-07 20:02:10","2019-03-01 11:44:48.102282",4061,5,,FALSE,,0,,"{}",1238
28,1,1,2010,"JVHV","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"hvcgggc","gccygc","hvyvhc",0,FALSE,FALSE,"2019-01-18 13:52:15.321976","2019-01-19 02:27:25.26478",2,5,,FALSE,"2019-01-18 13:56:16.71891",0,,"{}",
30,4,3,2015,"TYH","auto",,,,1440," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"hjbub","bubjb","gjk",0,FALSE,FALSE,"2019-01-18 14:07:49.022742","2019-02-26 11:06:48.254586",2,5,,FALSE,"2019-01-18 14:29:07.535896",0,,"{}",
19,2,2,2010,"JTUFF","auto",8,140,850,2040," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"vjcjv","ighvhvyc","ufucyc",0,FALSE,FALSE,"2019-01-18 12:11:11.203975","2019-01-19 02:27:25.293635",2,5,,FALSE,"2019-01-18 12:52:21.619362",0,,"{}",
18,2,2,2011,"HDJJDD","auto",8,140,850,2040," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"hdjdjs","jsjsjs","bdhjd",0,FALSE,FALSE,"2019-01-18 12:06:52.497428","2019-01-19 02:27:25.308016",2,5,,FALSE,"2019-01-18 12:52:26.206461",0,,"{}",
17,1,1,2010,"NXJJD","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jxjd","usus","jdjidd",0,FALSE,FALSE,"2019-01-18 12:00:21.444697","2019-01-19 02:27:25.322231",2,5,,FALSE,"2019-01-18 12:03:51.030277",0,,"{}",
16,1,2,2010,"XBXBJD","auto",6,130,630,1525," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jxjjx","jdjdj","jxjdj",0,FALSE,FALSE,"2019-01-18 11:52:28.183062","2019-01-19 02:27:25.336451",2,5,,FALSE,"2019-01-18 12:03:53.755023",0,,"{}",
14,1,1,2010,"JSJD","auto",7,135,675,1680," KL Eco City,Midvalley city,Kuala Lumpur,59200,Federal Territory of Kuala Lumpur",3.117196,101.678054,,"hdjdjd","jdjdj","jdjsjs",0,FALSE,FALSE,"2019-01-18 11:39:16.123089","2019-01-19 02:27:25.350982",2,6,,FALSE,"2019-01-18 12:03:56.008885",0,,"{}",
34,5,3,2013,"UVUVYV","manual",10,170,1000,2400," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jvhvh","hcct","uvyvyc",0,FALSE,FALSE,"2019-01-18 14:29:47.379771","2019-01-19 02:27:25.364994",2,5,,FALSE,"2019-01-18 14:36:09.34611",0,,"{}",
9,9,5,2014,"FJ111","auto",15,250,1400,3360,"94 Jalan Maarof, Bangsar, Kuala Lumpur, 59000, Wilayah Persekutuan Kuala Lumpur",3.1227973,101.6773552,,"Here","There",,0,TRUE,TRUE,"2019-01-17 21:13:22.102363","2019-02-07 12:03:25.941126",12561,5,,FALSE,"2019-01-18 16:40:51.384925",0,,"{}",
25,2,2,2011,"HBXBD","manual",8,140,850,2040," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"hdhd","jdjd","jdjd",0,FALSE,FALSE,"2019-01-18 13:16:42.391951","2019-01-19 02:27:25.379629",2,5,,FALSE,"2019-01-18 13:55:40.094215",0,,"{}",
26,1,2,2011,"BDJD","manual",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"hdjd","ndjd","jdjd",0,FALSE,FALSE,"2019-01-18 13:18:29.033744","2019-01-19 02:27:25.398325",2,5,,FALSE,"2019-01-18 13:55:45.132705",0,,"{}",
21,1,1,2010,"JFCJC","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"gccgc","jchcyc","jfufyf",0,FALSE,FALSE,"2019-01-18 12:53:01.078861","2019-01-19 02:27:25.412605",2,5,,FALSE,"2019-01-18 13:55:50.389012",0,,"{}",
22,1,1,2010,"HFHCHC","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jfvycy","ydxyxg","hufufc",0,FALSE,FALSE,"2019-01-18 12:56:27.197598","2019-01-19 02:27:25.426896",2,5,,FALSE,"2019-01-18 13:55:55.25275",0,,"{}",
23,2,2,2010,"CHCH","auto",8,140,850,2040," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"ufyf","ychcg","ufyfyc",0,FALSE,FALSE,"2019-01-18 13:00:19.971144","2019-01-19 02:27:25.441504",2,5,,FALSE,"2019-01-18 13:56:00.060518",0,,"{}",
24,1,1,2010,"JDJDJD","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jdjd","jdjdj","jdjdj",0,FALSE,FALSE,"2019-01-18 13:11:32.703749","2019-01-19 02:27:25.455667",2,5,,FALSE,"2019-01-18 13:56:05.627967",0,,"{}",
29,31,5,2013,"BXHD","manual",21,350,2050,4920," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"bdjd","jdjd","jdjjd",0,FALSE,FALSE,"2019-01-18 13:58:47.258129","2019-01-19 02:27:25.470049",2,5,,FALSE,"2019-01-18 14:13:45.398097",0,,"{}",
20,1,1,2010,"JDJDJD","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"idiie","jdjdj","hdjjd",0,FALSE,FALSE,"2019-01-18 12:44:57.968835","2019-02-21 16:05:29.685637",2,5,,FALSE,"2019-01-18 12:52:16.704196",0,,"{}",
31,31,5,2015,"HJDJD","auto",21,350,2050,4920," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jdjd","hdjd","hdhdj",0,FALSE,FALSE,"2019-01-18 14:14:23.611868","2019-01-19 02:27:25.513924",2,5,,FALSE,"2019-01-18 14:29:12.823754",0,,"{}",
32,6,5,2016,"JVHVYG","auto",7,120,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jvjvv","jfucy","yfcycy",0,FALSE,FALSE,"2019-01-18 14:20:48.620195","2019-01-19 02:27:25.528525",2,5,,FALSE,"2019-01-18 16:21:27.007479",0,,"{}",
35,3,3,2013,"IJJD","manual",7,120,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jsj","jdj","jdje",0,FALSE,FALSE,"2019-01-18 14:30:58.66588","2019-01-19 02:27:25.543562",2,5,,FALSE,"2019-01-18 14:36:12.388203",0,,"{}",
15,32,2,2011,"VJFGYT","manual",55,470,2515,6005," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"keys in bag","keys in bag","gufhhy",0,FALSE,FALSE,"2019-01-18 11:40:40.634808","2019-01-19 02:27:25.557782",9363,9,,FALSE,"2019-01-18 14:56:42.68399",0,,"{}",
36,31,4,2016,"NXND","auto",21,350,2050,4920," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jdjd","jsjs","jdjd",0,FALSE,FALSE,"2019-01-18 14:38:38.086292","2019-01-19 02:27:25.571938",2,5,,FALSE,"2019-01-18 16:21:24.573331",0,,"{}",
37,1,1,2010,"HFHFY","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"cjycc","jfc","ufyfyf",0,FALSE,FALSE,"2019-01-18 16:12:56.52824","2019-01-19 02:27:25.586388",2,5,,FALSE,"2019-01-18 16:21:21.957586",0,,"{}",
4082,55,2,2014,"W4386M","manual",30,450,2500,5130,"12-1A JLN HARMONI INDAH 1 TMN HARMONI INDAH 43300 BALAKONG",3.0249446,101.7327729,,,,,0,FALSE,FALSE,"2017-07-26 05:03:01","2019-01-19 23:44:48.851854",1832,5,,FALSE,,0,,"{}",1612
33,30,3,2016,"MCV1404","auto",120,120,120,120," Lorong Seri Aman Mas 2,koi prima ,Puchong,47100,Selangor",2.9757414,101.5766492,,"self pickup","self return ","car is perfectlytnew",0,FALSE,TRUE,"2019-01-18 14:21:04.948764","2019-02-20 12:37:29.04117",3415,5,,FALSE,,0,,"{}",
27,1,2,2010,"UVUV","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jvjvjv","jbbjvy","hcycyc",0,FALSE,FALSE,"2019-01-18 13:26:13.609271","2019-01-19 02:27:25.250276",2,5,,FALSE,"2019-01-18 13:56:10.721284",0,,"{}",
4358,30,4,2012,"WXN1164","auto",25,250,1400,2850,"7 Jalan Pandan 9, Pandan Jaya, Kuala Lumpur, 55100, Selangor",3.1387285,101.7412276,,"Pick up at the location between 9am-9pm","Return at the same location between 9am-9pm ","It’s good condition car , monitor and services accordingly ",0,TRUE,TRUE,"2019-02-20 16:55:52.159584","2019-02-26 18:47:26.163574",11059,5,,FALSE,"2019-02-22 12:01:57.586031",0,,"{}",
4330,5,6,2010,"NCK2508","auto",9,150,900,1743,"18 Jalan Jubli Perak 22/1,Seksyen 22,Shah Alam,40300,Selangor",3.0706468,101.5556035,,"In front puri Aiyu condo","In front puri Aiyu condo","Ezi 1.5",0,FALSE,FALSE,"2019-02-14 16:40:43.734278","2019-02-14 16:41:45.28437",10957,5,,FALSE,,0,,"{}",
38,1,1,2010,"HDJD","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"ndjd","jdjd","jdjdj",0,TRUE,FALSE,"2019-01-18 16:21:52.622477","2019-01-19 02:27:25.614934",2,5,,FALSE,"2019-01-18 18:28:50.236327",0,,"{}",
41,4,2,2010,"7UDJDJD","auto",6,100,600,1440," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"jdjdjd","jdjd","hdjdj",0,FALSE,TRUE,"2019-01-18 17:26:58.414207","2019-02-25 18:29:18.913044",2,5,,FALSE,,0,,"{}",
40,61,3,2016,"VP7155","auto",30,450,2500,6000,"3 Jalan Stesen Sentral,Kuala Lumpur Sentral,Kuala Lumpur,50470,Wilayah Persekutuan Kuala Lumpur",3.1353894,101.6860938,,"Self pick-up at KL Sentral","Self pick-up at KL Sentral","-Fred-:
-Rear Cross Traffic Alert (RCTA)
-Airbags curtain front and rear
-Airbags, dual front
-Engine Immobilizer
-Lane Departure Warning (LDW)
-Emergency Stop Signal (ESS)
-Side airbags for driver and front passenger
-Dynamic Stability Control (DSC)
-Traction Control System (TC/TCS)
-19"" Alloy wheels
-Air Conditioner - Dual Zone Auto Climate Control
-Rear aircon vents
-Auto-dimming interior rear view mirror
-Leather Upholstery
-Leather steering wheel
-Roof Spoiler
-Sky Tint Film
-Speed Sensing Door Locks
-Seat, Driver's - Electric Adjustment
-I-stop (Idling Stop Technology)
-Cruise control steering wheel-mounted 
-Audio- 6 Speakers
-LED fog lights
-Adaptive LED headlights
-Headlights on - auto off
-Headlights, Auto levelling
-LED daytime running lights
-LED Headlights
-Fog Lights, Rear
-Brake, Anti-Lock (ABS)
-Brake, Electronic Force Distribution (EBD)
-Emergency Brake Assist (EBA)",0,FALSE,TRUE,"2019-01-18 17:19:37.315036","2019-01-19 02:27:25.643664",10506,24,,FALSE,"2019-01-18 17:32:26.049405",0,,"{}",
3381,6,2,2018,"VBT7513","auto",7,120,700,1368,"Pearl Suria Residence,Jalan Klang Lama,Taman United,Kuala Lumpur,Federal Territory of Kuala Lumpur",3.085836,101.674059,,"-","-","**Daily or Weekly Rentals preferred.**
**Delivery/Pickup can be arranged to KL Sentral (Nu Sentral), please inquire for availability**
**No Smoking**
",0,TRUE,TRUE,"2018-10-08 13:21:49","2019-03-18 16:48:55.884588",9895,12,,FALSE,,0,,"{}",2075
4390,46,2,2017,"SAC6760E","auto",40,460,2550,5200," Jalan Pintas UA1,Blok Q,Kota Kinabalu,88450,Sabah",5.993667,116.137083,,"Inform early before pickup. ","Inform early before return. ","Tip top condition, semi auto with paddle shifter, leather seats, media player wth reverse cam, dash cam etc. ",0,TRUE,FALSE,"2019-02-27 12:50:13.691271","2019-02-28 15:02:27.554012",13960,5,,FALSE,"2019-02-28 15:02:27.547189",0,,"{}",
4452,209,5,2012,"BLX3232","auto",21,400,2240,4560,"Changkat Duta Kiara, Puncak Kiara, Kuala Lumpur, 50480, Wilayah Persekutuan Kuala Lumpur",3.1719817,101.6589897,,"Waze to Pavilion Hilltop Mont Kiara. 
","Same location to drop car back. ","1.4 turbo with super charge engine. 
Powerful. 
Comfortable. 
Spacious. 
Leather seats. 
Touch screen stereo. 
Usb, Aux & CD player. 
",0,FALSE,FALSE,"2019-03-16 12:18:29.464319","2019-03-16 13:00:03.759399",14852,5,,FALSE,,0,,"{}",
3112,1,2,2013,"WXW5572","auto",7,130,700,1482,"Lot 156, Block A Jalan 19 Taman Usaha Jaya",3.210902,101.618366,,,,"Good Mantainence and service on time.
Enjoy!",0,TRUE,TRUE,"2018-03-27 15:15:56","2019-02-25 19:02:01.268021",6344,5,,FALSE,,0,,"{}",1911
3098,1,2,2015,"BNK9338","auto",7,130,700,1482,"33 Jalan Sungai Puloh 14 Taman Sungai Puloh Klang Selangor Malaysia",3.080618,101.4228632,,,,"It is quite new vehicle, bought it last year.",0,TRUE,TRUE,"2016-12-20 12:41:50","2019-02-25 19:02:13.37819",5614,5,,FALSE,,0,,"{}",1202
3282,3,2,2017,"BPC4161","auto",7,120,700,1368,"Jalan Keledang 24/2 Section 24 Shah Alam Selangor Malaysia",3.0404315,101.5207326,,,,"New face lift Axia. SE model. Have push start button. Suitable for city drive only. ",0,TRUE,TRUE,"2017-04-10 20:56:56","2019-02-25 19:45:50.539236",9013,5,,FALSE,,0,,"{}",1248
2939,3,2,2017,"BPH477","auto",7,110,690,1353,"hotel desaria , , petaling jaya , 46000, Malaysia",3.0783136,101.6257025,,"-","-","nice and tidy, comfortable and no scratch .
pick up point at hotel desaria and please dont bring pets inside car :)",0,TRUE,TRUE,"2017-11-01 10:27:53","2019-03-11 18:33:27.246793",3815,9,,FALSE,,0,,"{}",1769
4259,2,3,2017,"BPD6916","auto",8,140,850,1596,"28 Jalan SS 5c/9,Ss 5,Petaling Jaya,47301,Selangor",3.1008611,101.6034756,,"Kompleks Tabung Haji Kelana Jaya","Kompleks Tabung Haji Kelana Jaya","Higher Spec .. Very Good Condition",0,TRUE,FALSE,"2019-01-28 10:32:08.434115","2019-01-28 11:14:07.573812",3346,5,,FALSE,"2019-01-28 11:14:07.567943",0,,"{}",
2681,6,2,2012,"DCD4688","auto",7,120,700,1368,"4444-C, Lorong Islah Lama, Jalan Pengkalan Chepa, 15400 Kota Bharu, Kelantan",6.1477637,102.2680145,,,,"Well maintain for everyday ride. ",0,TRUE,TRUE,"2017-07-03 10:28:46","2019-02-25 20:36:37.54036",1317,5,,FALSE,,0,,"{}",1471
3193,6,2,2015,"WB1014V","auto",7,120,700,1368,"Ipoh, Perak, Malaysia",4.597479,101.090106,,,,"Clean and tidy. No smoking, no alcohol and no drugs. No pets allowed. ",0,TRUE,TRUE,"2018-07-11 12:12:11","2019-02-25 20:36:49.570517",7610,5,,FALSE,,0,,"{}",1990
4183,17,2,2018,"VBF7600","auto",48,700,4000,7980,"Pandan Perdana, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.117157,101.742133,,,,"Vellfire 2.4 (A) Golden Eye 7 seater with Sun roof and moonroof",0,TRUE,TRUE,"2018-02-22 08:29:47","2019-02-25 21:46:37.088792",6690,5,,FALSE,,0,,"{}",1871
2140,4,2,2012,"WXT6145","auto",6,100,600,1140,"Lot 1, Jalan Pusara Aman Kg Melayu Subang Sek U6 Shah Alam ",3.1590967,101.528103,,,,,0,FALSE,FALSE,"2017-07-26 05:02:34","2019-01-19 23:44:15.512325",139,5,,FALSE,,0,,"{}",1578
2141,4,2,2012,"WXT1036","auto",6,100,600,1140,"Lot 1, Jalan Pusara Aman Kg Melayu Subang Sek U6 Shah Alam ",3.1590967,101.528103,,,,,0,FALSE,FALSE,"2017-07-26 05:02:34","2019-01-19 23:44:15.528848",139,5,,FALSE,,0,,"{}",1576
2142,4,2,2013,"WYD6923","auto",6,100,600,1140,"Lot 1, Jalan Pusara Aman Kg Melayu Subang Sek U6 Shah Alam ",3.1590967,101.528103,,,,,0,FALSE,FALSE,"2017-07-26 05:02:35","2019-01-19 23:44:15.544962",139,5,,FALSE,,0,,"{}",1580
4359,80,4,2018,"SY2510","auto",153,1000,5600,11400," Mc Donald's Bandar Sri Damansara,Bandar Sri Damansara,Petaling Jaya,52200,Selangor",3.1950924,101.6077574,,"Pick up at Mc Donald Bandar Sri Damansara. Delivery option available at extra charge. ","Return at Mc Donald Bandar Sri Damansara. Delivery option available at extra charge. ","7 seater. Luxury SUV car. The best car in her class. The Audi Q7 is the result of an ambitious idea: never cease to improve. It is masculine, yet exudes lightness. Inside, it offers comfort at the highest level with even more space for your imagination. This 3.0 TFSI engine accelerates this powerhouse as a seven-seater starting at an impressive 6.3 seconds from 0 to 100 km / h.",0,TRUE,FALSE,"2019-02-20 19:00:40.49524","2019-03-12 11:24:20.851034",11480,8,,FALSE,,0,,"{}",
